Task,Openness_to_Experience,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Emotional_Stability,Cognitive_Flexibility,Working_Memory,Processing_Speed,Pattern_Recognition,Abstract_Reasoning,Logical_Reasoning,Attention_to_Detail,Problem_Solving,Creativity,Analytical_Thinking,Stress_Tolerance,Adaptability,Decision_Making,Communication_Skills,Leadership_Potential,Formula
"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",0.019,0.023,0.049,0.023,0.038,0.045,0.023,0.023,0.019,0.023,0.038,0.136,0.042,0.03,0.027,0.155,0.049,0.042,0.117,0.049,0.03,0.136*Logical_Reasoning + 0.155*Analytical_Thinking + 0.117*Decision_Making
Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.035,0.021,0.016,0.038,0.013,0.038,0.019,0.032,0.04,0.04,0.027,0.099,0.091,0.029,0.099,0.107,0.024,0.024,0.029,0.078,0.099,0.099*Logical_Reasoning + 0.091*Attention_to_Detail + 0.099*Creativity + 0.107*Analytical_Thinking + 0.078*Communication_Skills + 0.099*Leadership_Potential
Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,0.033,0.033,0.041,0.053,0.037,0.041,0.033,0.033,0.041,0.041,0.057,0.025,0.029,0.029,0.037,0.168,0.033,0.037,0.025,0.041,0.135,0.053*Agreeableness + 0.057*Abstract_Reasoning + 0.168*Analytical_Thinking + 0.135*Leadership_Potential
"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",0.022,0.04,0.043,0.018,0.028,0.031,0.046,0.028,0.117,0.043,0.018,0.04,0.111,0.04,0.114,0.089,0.018,0.028,0.043,0.046,0.037,0.117*Processing_Speed + 0.111*Attention_to_Detail + 0.114*Creativity + 0.089*Analytical_Thinking
"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",0.031,0.019,0.141,0.031,0.038,0.038,0.019,0.019,0.044,0.044,0.022,0.028,0.085,0.044,0.11,0.041,0.019,0.038,0.041,0.122,0.028,0.141*Extraversion + 0.085*Attention_to_Detail + 0.11*Creativity + 0.122*Communication_Skills
Coordinate installation of software system.,0.03,0.047,0.047,0.025,0.021,0.03,0.064,0.055,0.03,0.051,0.034,0.025,0.034,0.03,0.038,0.025,0.042,0.025,0.034,0.191,0.123,0.064*Cognitive_Flexibility + 0.055*Working_Memory + 0.051*Pattern_Recognition + 0.191*Communication_Skills + 0.123*Leadership_Potential
"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",0.041,0.041,0.023,0.038,0.026,0.038,0.103,0.117,0.038,0.044,0.041,0.015,0.082,0.076,0.114,0.026,0.029,0.035,0.018,0.021,0.032,0.103*Cognitive_Flexibility + 0.117*Working_Memory + 0.082*Attention_to_Detail + 0.076*Problem_Solving + 0.114*Creativity
Determine system performance standards.,0.031,0.038,0.046,0.031,0.05,0.042,0.038,0.042,0.168,0.05,0.027,0.042,0.031,0.038,0.053,0.099,0.031,0.031,0.042,0.031,0.042,0.168*Processing_Speed + 0.053*Creativity + 0.099*Analytical_Thinking
"Develop or direct software system testing or validation procedures, programming, or documentation.",0.036,0.054,0.036,0.022,0.05,0.054,0.047,0.129,0.022,0.032,0.022,0.025,0.147,0.094,0.032,0.025,0.018,0.036,0.04,0.047,0.032,0.054*Conscientiousness + 0.054*Emotional_Stability + 0.129*Working_Memory + 0.147*Attention_to_Detail + 0.094*Problem_Solving
"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",0.02,0.034,0.02,0.037,0.017,0.023,0.144,0.034,0.091,0.044,0.047,0.044,0.03,0.101,0.037,0.097,0.02,0.047,0.047,0.02,0.047,0.144*Cognitive_Flexibility + 0.091*Processing_Speed + 0.101*Problem_Solving + 0.097*Analytical_Thinking
